=== EMS mode=lhr peers=172.16.0.100 ===
baseline alive=0 sta_count=1
inject: ip link down/up hg0 (provokes control-plane churn)
t=0s alive=0 sta_count=0 mis=0
t=4s alive=1 sta_count=1 mis=0
t=8s alive=1 sta_count=1 mis=0
t=11s alive=1 sta_count=1 mis=0
t=14s alive=1 sta_count=1 mis=0
t=17s alive=1 sta_count=1 mis=0
t=20s alive=1 sta_count=1 mis=0
t=24s alive=1 sta_count=1 mis=0
t=27s alive=1 sta_count=1 mis=0
t=30s alive=1 sta_count=1 mis=0
t=33s alive=1 sta_count=1 mis=0
t=37s alive=1 sta_count=1 mis=0
t=40s alive=1 sta_count=1 mis=0
self_heal=1 mismatch_final=0 alive=1 sta_count=1 mode=lhr
=== EMS done ===
