t,mode,alive,sta_count,mismatch,action
1789909001,stock,0,0,0,baseline
1789909006,stock,0,0,0,none
1789909012,stock,0,0,0,none
1789909017,stock,0,0,0,none
1789909022,stock,0,0,0,none
1789909027,stock,0,0,0,none
1789909033,stock,0,0,0,none
1789909038,stock,0,0,0,none
1789909043,stock,0,0,0,none
1789909048,stock,0,0,0,none
1789909053,stock,0,0,0,none
1789909058,stock,0,0,0,none
1789909064,stock,0,0,0,none
1789909069,stock,0,0,0,none
1789909074,stock,0,0,0,none
1789909079,stock,0,0,0,none
1789909084,stock,0,0,0,none
1789909090,stock,0,0,0,none
1789909095,stock,0,0,0,none
1789909100,stock,0,0,0,none
1789909105,stock,0,0,0,none
1789909110,stock,0,0,0,none
1789909116,stock,0,0,0,none
1789909121,stock,0,0,0,none
1789909126,stock,0,0,0,none
1789909131,stock,0,0,0,none
1789909136,stock,0,0,0,none
1789909142,stock,0,0,0,none
