=== EMS mode=stock peers=172.16.0.100 172.16.0.101 ===
baseline alive=1 sta_count=2
inject: ip link down/up hg0 (provokes control-plane churn)
t=0s alive=0 sta_count=0 mis=0
t=5s alive=0 sta_count=2 mis=1
t=10s alive=0 sta_count=2 mis=1
t=15s alive=0 sta_count=2 mis=1
t=21s alive=0 sta_count=2 mis=1
t=26s alive=0 sta_count=2 mis=1
t=31s alive=0 sta_count=2 mis=1
t=36s alive=0 sta_count=2 mis=1
t=41s alive=0 sta_count=2 mis=1
self_heal=0 mismatch_final=1 alive=0 sta_count=2 mode=stock
=== EMS done ===
