=== EMS mode=lhr peers=172.16.0.100 172.16.0.101 ===
baseline alive=0 sta_count=2
inject: ip link down/up hg0 (provokes control-plane churn)
LHR reconcile: alive=0 sta_count=2 → rebind_net=1
t=0s alive=0 sta_count=2 mis=1
t=5s alive=2 sta_count=2 mis=0
t=8s alive=2 sta_count=2 mis=0
t=12s alive=2 sta_count=2 mis=0
t=15s alive=2 sta_count=2 mis=0
t=18s alive=2 sta_count=2 mis=0
t=21s alive=2 sta_count=2 mis=0
t=25s alive=2 sta_count=2 mis=0
t=28s alive=2 sta_count=2 mis=0
t=31s alive=2 sta_count=2 mis=0
t=34s alive=2 sta_count=2 mis=0
t=38s alive=2 sta_count=2 mis=0
t=41s alive=2 sta_count=2 mis=0
self_heal=1 mismatch_final=0 alive=2 sta_count=2 mode=lhr
=== EMS done ===
