i,t_ms,ok
1,42,1
2,41,1
3,45,1
4,44,1
5,46,1
6,48,1
7,44,1
8,48,1
9,46,1
10,47,1
11,46,1
12,48,1
13,47,1
14,49,1
15,51,1
16,45,1
17,41,1
18,46,1
19,43,1
20,92,1
21,51,1
22,51,1
23,47,1
24,46,1
25,47,1
26,47,1
27,43,1
28,48,1
29,45,1
30,47,1
31,44,1
32,49,1
33,47,1
34,43,1
35,42,1
36,48,1
37,50,1
38,43,1
39,43,1
40,52,1
41,49,1
42,50,1
43,47,1
44,42,1
45,45,1
46,46,1
47,47,1
48,50,1
49,50,1
50,48,1
51,50,1
52,47,1
53,44,1
54,48,1
55,47,1
56,45,1
57,44,1
58,49,1
59,48,1
60,50,1
61,48,1
62,47,1
63,59,1
64,42,1
65,51,1
66,41,1
67,45,1
68,43,1
69,43,1
70,47,1
71,76,1
72,46,1
73,52,1
74,48,1
75,44,1
76,47,1
77,49,1
78,47,1
79,46,1
80,43,1
81,47,1
82,45,1
83,50,1
84,44,1
85,49,1
86,47,1
87,45,1
88,48,1
89,41,1
90,46,1
91,48,1
92,44,1
93,48,1
94,46,1
95,42,1
96,52,1
97,51,1
98,47,1
99,45,1
100,49,1
