=== EMS mode=stock peers=172.16.0.100 172.16.0.101 ===
baseline alive=2 sta_count=2
inject: ip link down/up hg0 (provokes control-plane churn)
t=0s alive=1 sta_count=1 mis=0
t=4s alive=2 sta_count=2 mis=0
t=7s alive=2 sta_count=2 mis=0
t=11s alive=2 sta_count=2 mis=0
t=14s alive=2 sta_count=2 mis=0
t=17s alive=2 sta_count=2 mis=0
t=21s alive=2 sta_count=2 mis=0
t=24s alive=2 sta_count=2 mis=0
t=27s alive=2 sta_count=2 mis=0
t=30s alive=2 sta_count=2 mis=0
t=34s alive=2 sta_count=2 mis=0
t=37s alive=2 sta_count=2 mis=0
